Country Name,Country Code,Region,%Essential Workers,%Indoor Essential Workers,%Vital Workers,%Indoor Vital Workers,"GDP per capita, PPP (current international $)",GDP Year (PPP),GDP Year (USD),GDP per capita (current US$),Food % of Essential Workers,Food % of Indoor Essential Workers,Food % of Vital Workers,Food % of Indoor Vital Workers
Brunei Darussalam,BRN,South-eastern Asia,0.3142653653857183,0.2605732292660589,0.1371090091554734,0.1127268388931983,90009.8912498003,2024.0,2024.0,33153.4738913513,0.07849288050244743,0.04435967458714744,0.1037934764991579,0.009956551746742509
Bhutan,BTN,Southern Asia,0.5611219551428901,0.1607320834859606,0.4694711589753813,0.0826687215594783,17762.4053956096,2024.0,2024.0,4228.05102403654,0.6753682017296506,0.027455888561709902,0.7992903359667964,0.008381365378416026
Botswana,BWA,Southern Africa,0.5099702477264748,0.2680171004119759,0.3199443449803756,0.113266777135768,20612.4785435561,2024.0,2024.0,7649.81663744354,0.40645396803963485,0.04750934952233733,0.6387367484432546,0.08664586540378849
Central African Republic,CAF,Middle Africa,0.6332789863508657,0.2958730455588337,0.3471997165889176,0.0815024103971723,1264.93671692975,2024.0,2024.0,516.160999996036,,,,
Canada,CAN,Northern America,0.2958,0.2502131744669096,0.1380332968702421,0.1157215559901134,65482.9454728344,2024.0,2024.0,55015.7066917734,,,,
Switzerland,CHE,Western Europe,0.3077407404695655,0.2583937872434015,0.1504114098319383,0.1199990410269288,97467.7447151829,2024.0,2024.0,107702.065940312,0.09301354655799865,0.02504300178689442,0.15232744924798616,0.006322423706055943
Chile,CHL,South America,0.4278650490220115,0.3194534763036823,0.199073151901314,0.1325969538342692,36070.892945837,2024.0,2024.0,16658.9652720351,0.1516582730158015,0.04481475119120076,0.279620574846728,0.038401355862019676
China,CHN,Eastern Asia,0.5142687171117994,0.2539614439931554,0.3228564719338243,0.0993396144773886,27139.5181633767,2024.0,2024.0,13293.1162269366,,,,
Côte d'Ivoire,CIV,Western Africa,0.777975193903885,0.2993175663202526,0.4953610978019196,0.0788303338445808,7680.36980823038,2024.0,2024.0,2727.8935220697,0.5187325675716649,0.002171632693420323,0.8146805868114381,0.008245655968140374
Cameroon,CMR,Middle Africa,0.614213868433294,0.3261039606695255,0.3355504204530114,0.099318161850576,5597.10321648993,2024.0,2024.0,1830.00833684727,,,,
DR Congo,COD,Middle Africa,0.7825980512044537,0.0975665435454579,0.69564389699825,0.0299568507934124,1823.27705135453,2024.0,2024.0,692.887665085098,0.8461742641165967,0.004935801253631439,0.9513795647820119,0.0029584872255693354
Congo Republic,COG,Middle Africa,0.6053395584621533,0.3534002162917518,0.2960832696176346,0.1061140811255461,7003.66225819816,2024.0,2024.0,2482.2489948456,,,,
Colombia,COL,South America,0.47434715213296,0.3070959087961354,0.2403398044775411,0.1189292151086661,22439.4001359818,2024.0,2024.0,7951.08624019412,0.27588820357401417,0.08458782018473493,0.48346327784317195,0.0950587246276932
Comoros,COM,Eastern Africa,0.5672691218039141,0.281889963291572,0.3798440331130708,0.124710998798799,4047.95264193561,2024.0,2024.0,1857.87060684189,,,,
Cabo Verde,CPV,Western Africa,0.5278197089539377,0.2894189502901681,0.3098077893746091,0.1152905024713627,11184.7207350908,2024.0,2024.0,5170.20531932535,,,,
Costa Rica,CRI,Central America,0.4399183450123365,0.3132889150264837,0.2199813560721598,0.1343740236301365,31552.1489834288,2024.0,2024.0,18853.2828705886,0.19338844947235176,0.05775046775885433,0.3435470594805672,0.06393648517105079
Cuba,CUB,Caribbean,0.4006999999999999,0.2999671364566612,0.1717440854523941,0.1097644546964981,,,2020.0,9605.27914559614,,,,
Curaçao,CUW,Caribbean,0.3827685485198029,0.249056154765952,0.2184885765149879,0.1095873240268811,32740.7736763943,2024.0,2024.0,22832.895498987,,,,
Cayman Islands,CYM,Caribbean,0.3827685485198029,0.249056154765952,0.2184885765149879,0.1095873240268811,92201.086358256,2024.0,2024.0,104292.900672109,,,,
Cyprus,CYP,Western Asia,0.2871999999999999,0.234931807664474,0.1126129820091185,0.0850725965592388,63006.765625,2024.0,2024.0,38674.3125,0.11205532203692227,0.055883579219903105,0.18093358967255063,0.015539820435693638
