Country Name,Country Code,Region,occupational_group,Essential Workers,Vital Workers,Indoor Essential Workers,Indoor Vital Workers,% of Essential Workers,% of Vital Workers,% of Indoor Essential Workers,% of Indoor Vital Workers
Bulgaria,BGR,Eastern Europe,Security,84722.64452237301,67778.11561789842,69190.1596932713,55352.12775461704,0.0688965182325735,0.11289042309305237,0.08593692923974947,0.16631891798417717
Bulgaria,BGR,Eastern Europe,Transport,205157.55826771248,167856.18403721935,42482.12065139501,34758.09871477774,0.1668342806510145,0.279579263335892,0.052764482876724285,0.1044391535417869
Bulgaria,BGR,Eastern Europe,Manual,227646.9288090055,118591.1668919852,143264.35202121048,79640.809694163,0.18512265368601968,0.19752403682936892,0.1779400211938321,0.23930016483624877
Bulgaria,BGR,Eastern Europe,Cleaning,75774.41024792993,11656.172812776496,45013.00155535136,5585.249472788739,0.0616198073919941,0.01941438277656374,0.05590793758360338,0.016782239214073118
Bulgaria,BGR,Eastern Europe,Tech,83482.85705031053,28790.165106451597,62799.740537323836,22899.55782393944,0.06788832212803722,0.047952556517046024,0.07799977457423705,0.0688072859001526
Bulgaria,BGR,Eastern Europe,ArmedForces,9927.79737357585,3971.11894943034,9927.79737357585,3971.11894943034,0.008073292289374184,0.006614248482229036,0.012330719052850055,0.011932191835220374
Bahamas,BHS,Caribbean,Food,9362.72148145894,5800.960326771583,4727.523240699175,2501.422519019578,0.09935861123364374,0.14409142014988885,0.07189881471783528,0.09909064621288016
Bahamas,BHS,Caribbean,Health,7601.33263733115,4106.8937022230275,6668.461212920252,3668.6035003631887,0.08066648739534074,0.10201210017364286,0.10141768380390144,0.14532702443740064
Bahamas,BHS,Caribbean,Retail,19561.663609675074,1504.7433545903905,18056.920255084682,1388.993865775745,0.20759132198111252,0.03737667467288207,0.2746197316637735,0.055023211272356765
Bahamas,BHS,Caribbean,Security,15802.902670270052,12642.322136216044,12905.70384738721,10324.56307790977,0.16770278448289422,0.31402561782620425,0.19627715454431377,0.40899433001694935
Bahamas,BHS,Caribbean,Transport,9202.353310365144,7529.198163026027,1905.5378066917722,1559.0763872932682,0.09765676003604985,0.18701952690376897,0.028980483590578716,0.06176081231278122
Bahamas,BHS,Caribbean,Manual,12829.078573232779,6127.045068831285,7497.990134926352,4046.8239153235095,0.1361441150383423,0.1521911158771206,0.11403362310864008,0.1603097412892547
Bahamas,BHS,Caribbean,Cleaning,9522.127995967192,773.2042910111155,6482.549982600094,370.4937227761595,0.1010502571866394,0.019205803536288604,0.09859024194435026,0.014676633846765964
Bahamas,BHS,Caribbean,Tech,10256.215257131871,1737.2367417185349,7414.5535976691235,1346.5193902815045,0.10884050182203425,0.043151632686669446,0.11276467363393206,0.053340639378853916
Bahamas,BHS,Caribbean,ArmedForces,93.210212783375,37.28408511335,93.210212783375,37.28408511335,0.0009891608239429802,0.0009261081735343973,0.0014175929926746875,0.00147696123275724
Bosnia and Herzegovina,BIH,Southern Europe,Food,185329.53958491143,184047.25679763337,32786.807618381834,31985.38087633306,0.28568494818243834,0.472268188521335,0.09221039580369322,0.20319969611187308
Bosnia and Herzegovina,BIH,Southern Europe,Health,54763.75090397795,33228.35856650498,50701.53870084354,30915.13144381434,0.08441816331233497,0.08526449663411925,0.14259421063122688,0.19640051618987867
Bosnia and Herzegovina,BIH,Southern Europe,Retail,118657.12445139319,9127.471111645631,109529.65333974756,8425.35794921135,0.18290961347174925,0.02342123606013522,0.3080437962809475,0.053525395915490964
Bosnia and Herzegovina,BIH,Southern Europe,Security,33973.01319789224,27178.410558313797,27744.62744494533,22195.70195595627,0.05236930139026427,0.06974023381058636,0.07802964862886165,0.14100691531165174
Bosnia and Herzegovina,BIH,Southern Europe,Transport,77525.60261887709,63430.038506353994,16053.281350373541,13134.502923032896,0.1195054917666745,0.16276248776786725,0.045148629427284544,0.08344208914878398
Bosnia and Herzegovina,BIH,Southern Europe,Manual,109863.39872778232,55605.07515935121,70179.05526025617,38028.50587457578,0.16935411075314818,0.14268350735036414,0.1973732404203146,0.24159102144755445
Bosnia and Herzegovina,BIH,Southern Europe,Cleaning,28538.887456343193,3554.7735617744775,17950.932933925193,1703.3289983502707,0.043992612307841884,0.009121605504116125,0.05048562977368909,0.010821066542290815
Bosnia and Herzegovina,BIH,Southern Europe,Tech,36763.07205319601,12215.568929773724,27313.690094120306,9698.451437397855,0.056670169030083865,0.031345344182798614,0.07681767019690562,0.06161322237976535
Bosnia and Herzegovina,BIH,Southern Europe,ArmedForces,3305.611005626736,1322.2444022506945,3305.611005626736,1322.2444022506945,0.005095589785464817,0.0033929001686779864,0.009296778837076955,0.008400076952710934
Belarus,BLR,Eastern Europe,Food,154423.54670889158,139827.88734088693,73133.85825992472,64011.5711549218,0.07652305492516168,0.12542799395404494,0.05772854744013333,0.10326769023290262
Belarus,BLR,Eastern Europe,Health,309577.2227113329,177039.02007577295,273164.755621359,159261.55310981954,0.15340791817051497,0.1588070131214874,0.21562385643341941,0.2569312459578841
Belarus,BLR,Eastern Europe,Retail,275671.4704371293,21205.49772593303,254465.9727111963,19574.30559316895,0.1366062593635915,0.019021692247102297,0.2008638861271134,0.03157856134521892
Belarus,BLR,Eastern Europe,Security,134520.35184973947,107616.28147979159,109858.28734395391,87886.62987516314,0.06666022437986767,0.09653363545354186,0.08671714447345734,0.14178451029731173
Belarus,BLR,Eastern Europe,Transport,441505.39584118244,361231.687506422,91422.83449236606,74800.5009482995,0.2187836141297791,0.32403096963130845,0.07216503496023054,0.12067310365652542
Belarus,BLR,Eastern Europe,Manual,480650.1555206577,256616.22439278636,306032.2348510267,176174.72996841575,0.23818141102555693,0.23018911930765132,0.2415679523568692,0.2842166988404684
Belarus,BLR,Eastern Europe,Cleaning,99506.2227352758,8286.921183992377,67495.46182433472,3970.8164006630145,0.04930932043751877,0.007433509294390302,0.05327785327654374,0.006405983022084728
